Variable_tecnica,Importancia,Nombre_para_negocio,Importancia_%
ImporteB,0.4262265341836452,Importe bruto de la HP,42.62265341836452
nParticipante,0.14500241197357966,Cantidad de participantes,14.500241197357965
NomCliente,0.07749944815280543,Cliente,7.749944815280544
DES_AO,0.07560607836951348,Área o línea de servicio,7.560607836951348
ANIO,0.0742712291188615,Año de generación de la HP,7.4271229118861495
Desc_Servicio,0.06563488766634065,Servicio cotizado,6.563488766634065
Consultor,0.05281768420243601,Consultor responsable,5.281768420243601
LugarEjec,0.044905264355915825,Lugar de ejecución,4.490526435591582
idUnidNeg,0.015666237272876072,Unidad de negocio,1.5666237272876071
duracion,0.009638492430224502,Duración registrada,0.9638492430224502
MON,0.006454762259503382,Moneda,0.6454762259503382
Rubro,0.0062769700142982455,Rubro,0.6276970014298245
