Motivo,Registros,Porcentaje
Costo de referencia,1102,25.07965407373691
Precio / presupuesto,1075,24.46517979062358
Otros motivos,979,22.280382339553935
Ausencia de respuesta / vencimiento,389,8.852981338188439
Proyecto en stand by,265,6.030951297223487
No cuenta con equipo,141,3.2089212562585345
Servicio no requerido,140,3.186162949476559
Eligió otro proveedor,136,3.0951297223486574
Atendido con otra HP/OI,95,2.162039144287665
Disponibilidad / habilitación de personal,51,1.1606736458807465
No especificado,21,0.4779244424214839
