Área / línea de servicio,Registros,Conversión (%),Facturación S/.,Facturación US$
4.02 OPERADORES HOMOLOGACIÓN Y CAPACITACIÓN,6997,81.74932113763042,28428476.7775,1342936.9100000001
1.10 HOMOLOGACION CONTRATISTAS,1877,71.01758124667022,5609681.74,0.0
4.11 EQUIPOS DE IZAJE - NO ACREDITADO,1591,69.51602765556254,7603100.225000001,185746.41999999998
3.06 SEGURIDAD INDUSTRIAL,1536,40.8203125,23324698.8,55841.119999999995
4.01 GRÚAS ACREDITADAS,1188,72.81144781144782,7511740.26,422876.37
3.04 OPERADORES DE GRUA,954,52.30607966457023,5451023.5175,350459.51
3.02 PORTUARIO,690,52.028985507246375,2342214.57,20382.0
4.12 MAQUINARIA - LÍNEA AMARILLA,531,69.86817325800376,2406880.5,65518.18
1.11 HOMOLOGACION PROVEEDORES VOLCAN,525,60.38095238095238,273780.08,0.0
3.03 INDUCCIONES,369,64.76964769647697,19672108.93,0.0
4.05 ELEMENTOS DE IZAJE,322,59.93788819875776,1676208.3299999998,20186.239999999998
3.05 MERCANCIAS PELIGROSAS,161,55.90062111801242,465855.05,1740.0
3.11 BOW TIE Y ICAM,134,23.88059701492537,784047.38,37250.418
4.03 ESTRUCTURAS METALICAS,106,50.0,368734.9,0.0
1.03 INTEGRADO,94,24.46808510638298,1341431.2,1342262.81
2.03 SEGURIDAD PORTUARIA,85,32.94117647058823,928653.3800000001,86234.38
1.01 ISO 9000,84,34.523809523809526,2204879.88,0.0
3.01 SISTEMAS DE GESTION,77,38.961038961038966,380342.5,388762.9
1.06 LEY 29783,68,48.529411764705884,765251.6699999999,100525.0
2.05 IPE + SEGURIDAD PORTUARIA,62,51.61290322580645,1452494.6,613709.11
2.01 IPE,55,43.63636363636363,247995.0,91250.0
1.07 PROCESOS,49,36.734693877551024,2608224.7860000003,34020.0
4.06 NO APLICA,47,63.829787234042556,118953.87,0.0
1.04 OHSAS 18000,42,50.0,999842.6,168700.0
4.04 TRANSPORTES,41,63.41463414634146,464040.18000000005,0.0
3.10 SEGURIDAD PORTUARIA,41,31.70731707317073,122460.0,0.0
3.09 RIGGERS,30,36.666666666666664,59060.0,0.0
1.08 DIAGNOSTICO ORGANIZACIONAL,26,38.46153846153847,739937.5242999999,10200.0
2.02 ISPS,26,61.53846153846154,472006.0,93424.0
3.08 SUPERVISORES DE IZAJE,24,29.166666666666668,41178.19,0.0
3.07 INOCUIDAD,19,10.526315789473683,21200.0,0.0
3.13 VOLCAN INDUCCIONES,17,82.35294117647058,2159348.7916,0.0
3.12 CURSOS PÚBLICOS,15,53.333333333333336,9165.26,0.0
1.02 ISO 14000,14,35.714285714285715,123470.0,73500.0
2.04 ISM,13,53.84615384615385,0.0,286852.38
4.08 BOLLARD PULL,12,16.666666666666664,43297.5,0.0
4.10 ENTRENAMIENTO DE OPERADORES,10,60.0,81920.0,105079.43000000001
1.09 INOCUIDAD,7,14.285714285714285,22400.0,0.0
4.07 NO APLICA,7,57.14285714285714,774410.0,0.0
4.09 AUDITORIA Y CONSULTORIA INDUSTRIAL,6,16.666666666666664,8000.0,0.0
1.05 BASC,3,66.66666666666666,346020.0,0.0
1.13 SUPERVISIÓN SST,2,0.0,0.0,0.0
2.06 OHSAS 18000,2,50.0,10350.0,0.0
1.12 CONSULTORÍA DE RIESGOS,1,100.0,413782.6,0.0
2.07 DS.009-2005-TR,1,100.0,0.0,6000.0
No especificado,1,0.0,0.0,0.0
