Segmento,Moneda,Posición,Cliente,Facturación
Alto valor y alta actividad,S/.,1,MINERA CHINALCO PERÚ S.A.,21663052.395000003
Alto valor y alta actividad,S/.,2,VOLCAN COMPANIA MINERA S.A.A.,13788318.1576
Alto valor y alta actividad,S/.,3,"REPSOL EXPLORACION PERU, SUCURSAL DEL PERU",9729434.5
Alto valor y alta actividad,S/.,4,ABS GROUP DEL PERU S.A.C.,9408239.7725
Alto valor y alta actividad,S/.,5,Corporacion Petrolera S.A.C,3213372.2600000002
Alto valor y alta actividad,S/.,6,COSMOS GLOBAL LOGISTICS S.A.C,2856241.82
Alto valor y alta actividad,S/.,7,CUMBRA PERU S.A.,2196804.0
Alto valor y alta actividad,S/.,8,INMAC PERU S.A.C.,1793078.73
Alto valor y alta actividad,S/.,9,STIERLIFT  S.A.,1737322.97
Alto valor y alta actividad,S/.,10,Biddle Inc S.A.C.,1725744.76
Alto valor y alta actividad,S/.,11,SOLGAS S.A.,1552016.5
Alto valor y alta actividad,S/.,12,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,1451010.7
Alto valor y alta actividad,S/.,13,CNPC PERU S.A.,1441361.66
Alto valor y alta actividad,S/.,14,ADMINISTRADORA JOCKEY PLAZA SHOPPING CENTER S.A.,1351533.58
Alto valor y alta actividad,S/.,15,SERPETBOL PERU CONSTRUCCIONES SEPCON S.A.C.,1220499.36
Alto valor y alta actividad,S/.,16,EMPRESA SIDERURGICA DEL PERU S.A.A.,1092094.13
Alto valor y alta actividad,S/.,17,CONDUTO PERU S.A.C.,1057357.51
Alto valor y alta actividad,S/.,18,RANSA COMERCIAL S.A.,946502.64
Alto valor y alta actividad,S/.,19,MOTA-ENGIL PERU S.A.,888807.53
Alto valor y alta actividad,S/.,20,TRANSBER S.A.C.,850729.14
Alto valor y alta actividad,S/.,21,PERU LNG S.R.L.,836609.14
Alto valor y alta actividad,S/.,22,GRUAS Y TRANSPORTES SAN LORENZO SAC,820576.0
Alto valor y alta actividad,S/.,23,SERVICIOS GENERALES LID S.A.C.,815428.99
Alto valor y alta actividad,S/.,24,PROSEGURIDAD S.A.,747540.2
Alto valor y alta actividad,S/.,25,COMPAÑÍA MINERA MISKI MAYO S.R.L.,739020.98
Alto valor y alta actividad,US$,1,ABS GROUP DEL PERU S.A.C.,2067179.63
Alto valor y alta actividad,US$,2,PERU LNG S.R.L.,1251993.0
Alto valor y alta actividad,US$,3,VOLCAN COMPANIA MINERA S.A.A.,397850.9
Alto valor y alta actividad,US$,4,COSMOS GLOBAL LOGISTICS S.A.C,286852.38
Alto valor y alta actividad,US$,5,MANTENIMIENTO INDUSTRIAL Y COMERCIAL SAC,251132.0
Alto valor y alta actividad,US$,6,MINERA CHINALCO PERÚ S.A.,241415.03
Alto valor y alta actividad,US$,7,TRABAJOS MARITIMOS S.A.,184118.0
Alto valor y alta actividad,US$,8,QUIMPAC S.A.,91550.0
Alto valor y alta actividad,US$,9,Consorcio Redram - Tucumann,85524.0
Alto valor y alta actividad,US$,10,TERMINALES DEL PERÚ,69312.9
Alto valor y alta actividad,US$,11,OILTANKING ANDINA SERVICES S.A.C.,65335.0
Alto valor y alta actividad,US$,12,ADMINISTRADORA JOCKEY PLAZA SHOPPING CENTER S.A.,63000.0
Alto valor y alta actividad,US$,13,APM TERMINALS CALLAO S.A.,60450.0
Alto valor y alta actividad,US$,14,PETROLERA TRANSOCEANICA S.A.,46500.0
Alto valor y alta actividad,US$,15,NAVIERA TRANSOCEANICA S.A.,44525.0
Alto valor y alta actividad,US$,16,DINETPERU S.A,34020.0
Alto valor y alta actividad,US$,17,SOLGAS S.A.,24040.0
Alto valor y alta actividad,US$,18,REFINERIA LA PAMPILLA S.A.A.,21500.0
Alto valor y alta actividad,US$,19,CONSORCIO BISA R&Q,17865.69
Alto valor y alta actividad,US$,20,CORPORACION YANFLO S.A.C.,13042.59
